Parameter Name,Date Local,Observation Count,Observation Percent,Arithmetic Mean,1st Max Value,1st Max Hour,AQI,State Name,County Name
PM10 Total 0-10um STP,2015-01-01,1,100.0,40,40,23,37,California,Butte
PM10 Total 0-10um STP,2015-01-02,1,100.0,39,39,23,36,California,Butte
PM10 Total 0-10um STP,2015-01-03,1,100.0,34,34,23,31,California,Butte
PM10 Total 0-10um STP,2015-01-04,1,100.0,28,28,23,26,California,Butte
PM10 Total 0-10um STP,2015-01-05,1,100.0,32,32,23,30,California,Butte
PM10 Total 0-10um STP,2015-01-06,1,100.0,34,34,23,31,California,Butte
PM10 Total 0-10um STP,2015-01-07,1,100.0,42,42,23,39,California,Butte
PM10 Total 0-10um STP,2015-01-08,1,100.0,38,38,23,35,California,Butte
PM10 Total 0-10um STP,2015-01-09,1,100.0,39,39,23,36,California,Butte
PM10 Total 0-10um STP,2015-01-10,1,100.0,40,40,23,37,California,Butte
PM10 Total 0-10um STP,2015-01-11,1,100.0,29,29,23,27,California,Butte
PM10 Total 0-10um STP,2015-01-12,1,100.0,22,22,23,20,California,Butte
PM10 Total 0-10um STP,2015-01-13,1,100.0,17,17,23,16,California,Butte
PM10 Total 0-10um STP,2015-01-14,1,100.0,31,31,23,29,California,Butte
PM10 Total 0-10um STP,2015-01-15,1,100.0,31,31,23,29,California,Butte
PM10 Total 0-10um STP,2015-01-16,1,100.0,16,16,23,15,California,Butte
PM10 Total 0-10um STP,2015-01-17,1,100.0,15,15,23,14,California,Butte
PM10 Total 0-10um STP,2015-01-18,1,100.0,27,27,23,25,California,Butte
PM10 Total 0-10um STP,2015-01-19,1,100.0,17,17,23,16,California,Butte
PM10 Total 0-10um STP,2015-01-20,1,100.0,15,15,23,14,California,Butte
PM10 Total 0-10um STP,2015-01-21,1,100.0,21,21,23,19,California,Butte
PM10 Total 0-10um STP,2015-01-22,1,100.0,29,29,23,27,California,Butte
PM10 Total 0-10um STP,2015-01-23,1,100.0,30,30,23,28,California,Butte
PM10 Total 0-10um STP,2015-01-24,1,100.0,18,18,23,17,California,Butte
PM10 Total 0-10um STP,2015-01-25,1,100.0,17,17,23,16,California,Butte
PM10 Total 0-10um STP,2015-01-26,1,100.0,30,30,23,28,California,Butte
PM10 Total 0-10um STP,2015-01-27,1,100.0,25,25,23,23,California,Butte
PM10 Total 0-10um STP,2015-01-28,1,100.0,24,24,23,22,California,Butte
PM10 Total 0-10um STP,2015-01-29,1,100.0,25,25,23,23,California,Butte
PM10 Total 0-10um STP,2015-01-30,1,100.0,22,22,23,20,California,Butte
PM10 Total 0-10um STP,2015-01-31,1,100.0,13,13,23,12,California,Butte
PM10 Total 0-10um STP,2015-02-01,1,100.0,24,24,23,22,California,Butte
PM10 Total 0-10um STP,2015-02-02,1,100.0,19,19,23,18,California,Butte
PM10 Total 0-10um STP,2015-02-03,1,100.0,15,15,23,14,California,Butte
PM10 Total 0-10um STP,2015-02-04,1,100.0,32,32,23,30,California,Butte
PM10 Total 0-10um STP,2015-02-05,1,100.0,26,26,23,24,California,Butte
PM10 Total 0-10um STP,2015-02-06,1,100.0,10,10,23,9,California,Butte
PM10 Total 0-10um STP,2015-02-07,1,100.0,5,5,23,5,California,Butte
PM10 Total 0-10um STP,2015-02-08,1,100.0,6,6,23,6,California,Butte
PM10 Total 0-10um STP,2015-02-09,1,100.0,8,8,23,7,California,Butte
PM10 Total 0-10um STP,2015-02-10,1,100.0,9,9,23,8,California,Butte
PM10 Total 0-10um STP,2015-02-11,1,100.0,13,13,23,12,California,Butte
PM10 Total 0-10um STP,2015-02-12,1,100.0,12,12,23,11,California,Butte
PM10 Total 0-10um STP,2015-02-13,1,100.0,18,18,23,17,California,Butte
PM10 Total 0-10um STP,2015-02-14,1,100.0,13,13,23,12,California,Butte
PM10 Total 0-10um STP,2015-02-15,1,100.0,8,8,23,7,California,Butte
PM10 Total 0-10um STP,2015-02-16,1,100.0,11,11,23,10,California,Butte
PM10 Total 0-10um STP,2015-02-17,1,100.0,15,15,23,14,California,Butte
PM10 Total 0-10um STP,2015-02-18,1,100.0,17,17,23,16,California,Butte
PM10 Total 0-10um STP,2015-02-19,1,100.0,14,14,23,13,California,Butte
PM10 Total 0-10um STP,2015-02-20,1,100.0,12,12,23,11,California,Butte
PM10 Total 0-10um STP,2015-02-21,1,100.0,11,11,23,10,California,Butte
PM10 Total 0-10um STP,2015-02-22,1,100.0,8,8,23,7,California,Butte
PM10 Total 0-10um STP,2015-02-25,1,100.0,28,28,23,26,California,Butte
PM10 Total 0-10um STP,2015-02-26,1,100.0,20,20,23,19,California,Butte
PM10 Total 0-10um STP,2015-02-27,1,100.0,7,7,23,6,California,Butte
PM10 Total 0-10um STP,2015-02-28,1,100.0,6,6,23,6,California,Butte
PM10 Total 0-10um STP,2015-03-01,1,100.0,7,7,23,6,California,Butte
PM10 Total 0-10um STP,2015-03-02,1,100.0,11,11,23,10,California,Butte
PM10 Total 0-10um STP,2015-03-03,1,100.0,16,16,23,15,California,Butte
PM10 Total 0-10um STP,2015-03-04,1,100.0,13,13,23,12,California,Butte
PM10 Total 0-10um STP,2015-03-05,1,100.0,17,17,23,16,California,Butte
PM10 Total 0-10um STP,2015-03-06,1,100.0,22,22,23,20,California,Butte
PM10 Total 0-10um STP,2015-03-07,1,100.0,15,15,23,14,California,Butte
PM10 Total 0-10um STP,2015-03-08,1,100.0,14,14,23,13,California,Butte
PM10 Total 0-10um STP,2015-03-09,1,100.0,21,21,23,19,California,Butte
PM10 Total 0-10um STP,2015-03-10,1,100.0,25,25,23,23,California,Butte
PM10 Total 0-10um STP,2015-03-11,1,100.0,11,11,23,10,California,Butte
PM10 Total 0-10um STP,2015-03-12,1,100.0,6,6,23,6,California,Butte
PM10 Total 0-10um STP,2015-03-13,1,100.0,9,9,23,8,California,Butte
PM10 Total 0-10um STP,2015-03-14,1,100.0,10,10,23,9,California,Butte
PM10 Total 0-10um STP,2015-03-15,1,100.0,9,9,23,8,California,Butte
PM10 Total 0-10um STP,2015-03-16,1,100.0,6,6,23,6,California,Butte
PM10 Total 0-10um STP,2015-03-17,1,100.0,6,6,23,6,California,Butte
PM10 Total 0-10um STP,2015-03-18,1,100.0,7,7,23,6,California,Butte
PM10 Total 0-10um STP,2015-03-19,1,100.0,8,8,23,7,California,Butte
PM10 Total 0-10um STP,2015-03-20,1,100.0,14,14,23,13,California,Butte
PM10 Total 0-10um STP,2015-03-21,1,100.0,9,9,23,8,California,Butte
PM10 Total 0-10um STP,2015-03-22,1,100.0,6,6,23,6,California,Butte
PM10 Total 0-10um STP,2015-03-23,1,100.0,6,6,23,6,California,Butte
PM10 Total 0-10um STP,2015-03-24,1,100.0,5,5,23,5,California,Butte
PM10 Total 0-10um STP,2015-03-25,1,100.0,6,6,23,6,California,Butte
PM10 Total 0-10um STP,2015-03-26,1,100.0,9,9,23,8,California,Butte
PM10 Total 0-10um STP,2015-03-27,1,100.0,14,14,23,13,California,Butte
PM10 Total 0-10um STP,2015-03-28,1,100.0,6,6,23,6,California,Butte
PM10 Total 0-10um STP,2015-03-29,1,100.0,4,4,23,4,California,Butte
PM10 Total 0-10um STP,2015-03-30,1,100.0,20,20,23,19,California,Butte
PM10 Total 0-10um STP,2015-03-31,1,100.0,15,15,23,14,California,Butte
PM10 Total 0-10um STP,2015-04-01,1,100.0,11,11,23,10,California,Butte
PM10 Total 0-10um STP,2015-04-02,1,100.0,15,15,23,14,California,Butte
PM10 Total 0-10um STP,2015-04-03,1,100.0,14,14,23,13,California,Butte
PM10 Total 0-10um STP,2015-04-04,1,100.0,17,17,23,16,California,Butte
PM10 Total 0-10um STP,2015-04-05,1,100.0,6,6,23,6,California,Butte
PM10 Total 0-10um STP,2015-04-06,1,100.0,5,5,23,5,California,Butte
PM10 Total 0-10um STP,2015-04-07,1,100.0,2,2,23,2,California,Butte
PM10 Total 0-10um STP,2015-04-08,1,100.0,3,3,23,3,California,Butte
PM10 Total 0-10um STP,2015-04-09,1,100.0,5,5,23,5,California,Butte
PM10 Total 0-10um STP,2015-04-10,1,100.0,6,6,23,6,California,Butte
PM10 Total 0-10um STP,2015-04-11,1,100.0,6,6,23,6,California,Butte
PM10 Total 0-10um STP,2015-04-12,1,100.0,4,4,23,4,California,Butte
PM10 Total 0-10um STP,2015-04-13,1,100.0,15,15,23,14,California,Butte
PM10 Total 0-10um STP,2015-04-14,1,100.0,7,7,23,6,California,Butte
PM10 Total 0-10um STP,2015-04-15,1,100.0,8,8,23,7,California,Butte
PM10 Total 0-10um STP,2015-04-16,1,100.0,10,10,23,9,California,Butte
